"name","screen_name","text","polarity","subjectivity","label"
"LillyFam💋","ShivaniGaonkar2","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Elena Haskins","ElenaHaskins","RT @GreatGameIndia: .@ashwani_mahajan @s_navroop @WG_Burton @AnkitLal Exclusive research on the global #WarOnCash from an Indian perspectiv…","0.00","0.00","NEGATIVE"
"Elena Haskins","ElenaHaskins","RT @GreatGameIndia: .@ashwani_mahajan @s_navroop @WG_Burton @AnkitLal Exclusive research on the Global #WarOnCash: Target #India @Devinder_…","0.00","0.00","NEGATIVE"
"Elena Haskins","ElenaHaskins","RT @GreatGameIndia: .@ashwani_mahajan @s_navroop @WG_Burton @AnkitLal Exclusive research on the global #WarOnCash #Demonetization and #Cash…","0.00","0.00","NEGATIVE"
"Deepak yadav","deepakdv217","RT @ChitrangBisht: #Snapchat CEO worth - 4billion Just 1% of wht came of as black money frm INDIANS during DEMONETIZATION Get rich then t…","0.17","0.43","POSITIVE"
"Asmank Sharma","AsmankSharma","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"MeDNikhil","Nikhil2612","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"SHREEKRISHNA. B","srb_bellu","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"chitrang singh bisht","ChitrangBisht","#Snapchat CEO worth - 4billion Just 1% of wht came of as black money frm INDIANS during DEMONETIZATION Get rich then think abut IND market","0.17","0.43","POSITIVE"
"Ritu Chadha Sahni","Sahni_ritu","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Gaurav Mishra","GauravM895202","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Trinh Nguyen","TrinhDieuNguyen","Demonetization Is Catalyzing Digital Payments Growth in India https://t.co/mKBuS0tOmc","0.00","0.00","NEGATIVE"
"☆","05apuuuuu","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Michael Levandi","mikelevandi","RT @Timcast: Youtube flags my videos for demonetization then after most people have already watched them they will reinstate ads, thus I ge…","0.50","0.50","POSITIVE"
"PM MODI bot","BotByROP","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Ayush Gupta","gptayu","Dear @evanspiegel 
India is so rich that PM @narendramodi ji had to implement demonetization to find out who is actually poor!

#Snapchat","-0.06","0.68","NEGATIVE"
